step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.identity_heatmap,losses/eval.identity_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.identity_heatmap,losses/train.identity_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,,,0.0024312774185091257,0.5617002248764038,0.015258146449923515,0.08766090869903564,0.08766090869903564,0.051459524780511856,,,,
2,,,,,,,0.00139304727781564,0.4853792190551758,0.012831006199121475,0.03657418489456177,0.03657418489456177,0.024702593684196472,,,,
3,,,,,,,0.0013536476762965322,0.41611015796661377,0.01107957772910595,0.032722555100917816,0.032722555100917816,0.021901065483689308,,,,
4,,,,,,,0.0013073199661448598,0.37724199891090393,0.010084711946547031,0.030942166224122047,0.030942166224122047,0.020513435825705528,,,,
5,,,,,,,0.0012180523481220007,0.34330326318740845,0.009191608056426048,0.029151111841201782,0.029151111841201782,0.01917135901749134,,,,
6,,,,,,,0.0011431804159656167,0.3093706965446472,0.008305857889354229,0.02772490866482258,0.02772490866482258,0.018015382811427116,,,,
7,,,,,,,0.0010956211481243372,0.27877455949783325,0.007517174351960421,0.02639453299343586,0.02639453299343586,0.016955852508544922,,,,
8,,,,,,,0.0010481878416612744,0.2590353190898895,0.006999976001679897,0.025036482140421867,0.025036482140421867,0.016018230468034744,,,,
9,,,,,,,0.0010014731669798493,0.238006591796875,0.006450900807976723,0.02398051507771015,0.02398051507771015,0.015215708874166012,,,,
10,0.0014794718008488417,0.26004502177238464,0.007240861654281616,0.04151741415262222,0.04151741415262222,0.02437913976609707,0.0009831571951508522,0.22766657173633575,0.006183243356645107,0.022784505039453506,0.022784505039453506,0.014483872801065445,53.75011636912838,60.93596059113301,18.706112670070997,7.157847430677183
11,,,,,,,0.0009678360656835139,0.2145337611436844,0.005847262218594551,0.022879568859934807,0.022879568859934807,0.014363415539264679,,,,
12,,,,,,,0.000938172044698149,0.20655012130737305,0.005632839631289244,0.021902156993746758,0.021902156993746758,0.013767501339316368,,,,
13,,,,,,,0.0009173928992822766,0.1835956871509552,0.005048589315265417,0.02049941197037697,0.02049941197037697,0.012773999944329262,,,,
14,,,,,,,0.000881818647030741,0.1832861751317978,0.005023064091801643,0.020098747685551643,0.020098747685551643,0.012560905888676643,,,,
15,,,,,,,0.0008774083107709885,0.1789875328540802,0.004913392476737499,0.020068304613232613,0.020068304613232613,0.012490848079323769,,,,
16,,,,,,,0.0008580360445193946,0.1683329939842224,0.004637343343347311,0.01959826610982418,0.01959826610982418,0.01211780495941639,,,,
17,,,,,,,0.0008375878096558154,0.1650875061750412,0.004545981530100107,0.01892741397023201,0.01892741397023201,0.011736697517335415,,,,
18,,,,,,,0.000818121072370559,0.15619340538978577,0.00431389594450593,0.01805216073989868,0.01805216073989868,0.011183029040694237,,,,
19,,,,,,,0.0008017250802367926,0.15696373581886292,0.004324955865740776,0.01804474927484989,0.01804474927484989,0.011184852570295334,,,,
20,0.0012265737168490887,0.20501141250133514,0.005738572217524052,0.036335431039333344,0.036335431039333344,0.02103700302541256,0.0007769025978632271,0.14182400703430176,0.003934051841497421,0.016784202307462692,0.016784202307462692,0.010359127074480057,70.03553370010141,75.2216748768473,15.554715978199672,3.3050805542469024
21,,,,,,,0.0008042191038839519,0.15335263311862946,0.004235925152897835,0.01797305978834629,0.01797305978834629,0.011104492470622063,,,,
22,,,,,,,0.0007534814649261534,0.1449926197528839,0.004001555498689413,0.01716933585703373,0.01716933585703373,0.010585445910692215,,,,
23,,,,,,,0.0007372151594609022,0.14150163531303406,0.003906149184331298,0.017223183065652847,0.017223183065652847,0.010564667172729969,,,,
24,,,,,,,0.0007399928290396929,0.13894926011562347,0.0038437279872596264,0.016891948878765106,0.016891948878765106,0.010367837734520435,,,,
25,,,,,,,0.0007222745916806161,0.13545560836791992,0.003747527953237295,0.016579056158661842,0.016579056158661842,0.010163289494812489,,,,
26,,,,,,,0.0007165606948547065,0.13515138626098633,0.003737065242603421,0.016709482297301292,0.016709482297301292,0.010223274119198322,,,,
27,,,,,,,0.0006832557264715433,0.1252833604812622,0.003473711898550391,0.015971504151821136,0.015971504151821136,0.009722606278955936,,,,
28,,,,,,,0.0006983368657529354,0.1376342624425888,0.0037900255993008614,0.016969652846455574,0.016969652846455574,0.01037983875721693,,,,
29,,,,,,,0.0007225089357234538,0.14059992134571075,0.003876252332702279,0.0172664113342762,0.0172664113342762,0.010571332648396492,,,,
30,0.0010470135603100061,0.1868777722120285,0.005195450969040394,0.03525489941239357,0.03525489941239357,0.020225172862410545,0.0006356731173582375,0.1270960122346878,0.003495236625894904,0.01573968678712845,0.01573968678712845,0.009617460891604424,75.51373313713728,80.14778325123153,11.870282742070806,5.706081470980573
31,,,,,,,0.0006166886887513101,0.12061133235692978,0.003323627868667245,0.015450052917003632,0.015450052917003632,0.009386841207742691,,,,
32,,,,,,,0.0005996826803311706,0.1202133372426033,0.003305174643173814,0.015351299196481705,0.015351299196481705,0.009328236803412437,,,,
33,,,,,,,0.0006041708984412253,0.118392713367939,0.003261903068050742,0.015079423785209656,0.015079423785209656,0.00917066354304552,,,,
34,,,,,,,0.0005865651182830334,0.11803118139505386,0.0032440621871501207,0.015292833559215069,0.015292833559215069,0.009268446825444698,,,,
35,,,,,,,0.000565847905818373,0.11295860260725021,0.0031068893149495125,0.014353006146848202,0.014353006146848202,0.008729947730898857,,,,
36,,,,,,,0.0005397859495133162,0.11321105808019638,0.003100169589743018,0.014671252109110355,0.014671252109110355,0.008885711431503296,,,,
37,,,,,,,0.0005585118778981268,0.11337561160326004,0.0031136467587202787,0.014836412854492664,0.014836412854492664,0.008975028991699219,,,,
38,,,,,,,0.0005129141500219703,0.10633844882249832,0.002914918353781104,0.013615841045975685,0.013615841045975685,0.008265379816293716,,,,
39,,,,,,,0.000512275961227715,0.11065080761909485,0.003022408112883568,0.014412790536880493,0.014412790536880493,0.008717600256204605,,,,
40,0.0009593464201316237,0.1800948679447174,0.004982044920325279,0.0361921563744545,0.0361921563744545,0.020587101578712463,0.0004838642489630729,0.10593023151159286,0.0028901880141347647,0.013370058499276638,0.013370058499276638,0.008130122907459736,75.58473152805506,80.64039408866994,12.272307752721053,4.927794440696805
41,,,,,,,0.00047968997387215495,0.10344215482473373,0.0028258985839784145,0.013604688458144665,0.013604688458144665,0.008215295150876045,,,,
42,,,,,,,0.00048393983161076903,0.10066194087266922,0.002758518559858203,0.013342670165002346,0.013342670165002346,0.008050594478845596,,,,
43,,,,,,,0.0004842416674364358,0.10756836086511612,0.0029313298873603344,0.014166510663926601,0.014166510663926601,0.008548920974135399,,,,
44,,,,,,,0.000466777419205755,0.09981777518987656,0.002728833118453622,0.013476810418069363,0.013476810418069363,0.008102822117507458,,,,
45,,,,,,,0.00044493042514659464,0.09822703897953033,0.0026781412307173014,0.013636003248393536,0.013636003248393536,0.008157070726156235,,,,
46,,,,,,,0.0004373280971776694,0.10097893327474594,0.002743137301877141,0.013442612253129482,0.013442612253129482,0.00809287466108799,,,,
47,,,,,,,0.00042351597221568227,0.09587752819061279,0.0026086962316185236,0.012794872745871544,0.012794872745871544,0.007701783441007137,,,,
48,,,,,,,0.0004365993954706937,0.09944267570972443,0.0027043665759265423,0.013642668724060059,0.013642668724060059,0.008173518814146519,,,,
49,,,,,,,0.0004490882274694741,0.09753663092851639,0.0026629597414284945,0.0128933135420084,0.0128933135420084,0.007778136525303125,,,,
50,0.0008547583129256964,0.16008025407791138,0.004429385531693697,0.036568284034729004,0.036568284034729004,0.020498834550380707,0.00040733127389103174,0.09494084864854813,0.002577186794951558,0.012524273246526718,0.012524273246526718,0.007550729438662529,79.00824635852108,83.05418719211823,11.071801706178142,4.883670502526186
51,,,,,,,0.00040785918827168643,0.08853641152381897,0.002417340176180005,0.01267040241509676,0.01267040241509676,0.007543871179223061,,,,
52,,,,,,,0.0003857567207887769,0.08766394108533859,0.002384477062150836,0.011919056065380573,0.011919056065380573,0.007151767145842314,,,,
53,,,,,,,0.00040167311090044677,0.0901009738445282,0.002453360939398408,0.01219593919813633,0.01219593919813633,0.007324649952352047,,,,
54,,,,,,,0.00040883125620894134,0.09508096426725388,0.0025814396794885397,0.012683270499110222,0.012683270499110222,0.0076323566026985645,,,,
55,,,,,,,0.00039362494135275483,0.08885451406240463,0.002418175572529435,0.012192841619253159,0.012192841619253159,0.007305508479475975,,,,
56,,,,,,,0.0004071710864081979,0.09162640571594238,0.00249424553476274,0.01250804215669632,0.01250804215669632,0.007501144893467426,,,,
57,,,,,,,0.000409776926971972,0.09426911920309067,0.0025616164784878492,0.0130158681422472,0.0130158681422472,0.007788742892444134,,,,
58,,,,,,,0.0003989602846559137,0.09724441170692444,0.0026305904611945152,0.013256402686238289,0.013256402686238289,0.007943496108055115,,,,
59,,,,,,,0.00037796900141984224,0.0896771177649498,0.00243091257289052,0.012339739128947258,0.012339739128947258,0.007385325618088245,,,,
60,0.0008288290118798614,0.1753215491771698,0.00479745352640748,0.04056255891919136,0.04056255891919136,0.022680005058646202,0.0003732167824637145,0.08431370556354523,0.002294451231136918,0.011878140270709991,0.011878140270709991,0.0070862965658307076,76.15583426886737,81.0344827586207,11.604511079304011,5.33645940129173
61,,,,,,,0.0003830268979072571,0.08820662647485733,0.0023966787848621607,0.012216075323522091,0.012216075323522091,0.007306377869099379,,,,
62,,,,,,,0.000369626737665385,0.08679445087909698,0.0023546749725937843,0.01178438775241375,0.01178438775241375,0.007069531828165054,,,,
63,,,,,,,0.0003747569862753153,0.08679734170436859,0.0023573117796331644,0.011883811093866825,0.011883811093866825,0.007120562717318535,,,,
64,,,,,,,0.0003652911982499063,0.08333083987236023,0.0022659164387732744,0.01150958426296711,0.01150958426296711,0.006887751165777445,,,,
65,,,,,,,0.00036336833727546036,0.08425608277320862,0.0022880863398313522,0.011617099866271019,0.011617099866271019,0.006952592637389898,,,,
66,,,,,,,0.0004863157810177654,0.12263628840446472,0.00330906524322927,0.015996014699339867,0.015996014699339867,0.00965254008769989,,,,
67,,,,,,,0.00036874780198559165,0.09258249402046204,0.002498936140909791,0.012411683797836304,0.012411683797836304,0.0074553098529577255,,,,
68,,,,,,,0.00036552295205183327,0.0873638391494751,0.002366857836022973,0.011692462489008904,0.011692462489008904,0.0070296600461006165,,,,
69,,,,,,,0.00034709894680418074,0.0838392823934555,0.002269531600177288,0.011751167476177216,0.011751167476177216,0.007010348606854677,,,,
70,0.0007465449743904173,0.1645425409078598,0.004486836027354002,0.03976495936512947,0.03976495936512947,0.02212589792907238,0.0003450872900430113,0.07938438653945923,0.0021571533288806677,0.011276347562670708,0.011276347562670708,0.0067167505621910095,80.41907496311495,83.99014778325122,9.960352890764733,6.254741353928289
71,,,,,,,0.00034359144046902657,0.07856614887714386,0.002135949209332466,0.011043055914342403,0.011043055914342403,0.006589503493160009,,,,
72,,,,,,,0.0003274081100244075,0.07945670187473297,0.002150121610611677,0.010853037238121033,0.010853037238121033,0.006501580122858286,,,,
73,,,,,,,0.0003338509995955974,0.08065018057823181,0.002183179836720228,0.011113569140434265,0.011113569140434265,0.006648373790085316,,,,
74,,,,,,,0.00034061705810017884,0.07637152075767517,0.0020795967429876328,0.010860403999686241,0.010860403999686241,0.00646999990567565,,,,
75,,,,,,,0.00035054751788266003,0.07546191662549973,0.0020618215203285217,0.010658425278961658,0.010658425278961658,0.006360123865306377,,,,
76,,,,,,,0.0003156597667839378,0.07676900923252106,0.0020770549308508635,0.010679560713469982,0.010679560713469982,0.0063783093355596066,,,,
77,,,,,,,0.0003202712396159768,0.07548550516366959,0.0020472733303904533,0.010836975648999214,0.010836975648999214,0.0064421240240335464,,,,
78,,,,,,,0.000321889208862558,0.07980576902627945,0.002156089060008526,0.010953564196825027,0.010953564196825027,0.006554826628416777,,,,
79,,,,,,,0.0003113272541668266,0.07501771301031113,0.0020311065018177032,0.0107173016294837,0.0107173016294837,0.0063742040656507015,,,,
80,0.0007788775837980211,0.17684513330459595,0.0048105670139193535,0.04223388433456421,0.04223388433456421,0.02352222427725792,0.00033264150260947645,0.07533445209264755,0.0020496821962296963,0.010528809390962124,0.010528809390962124,0.006289245560765266,78.77518922287042,83.10344827586206,10.575285247538337,5.660469679518297
81,,,,,,,0.00032615484087727964,0.07744226604700089,0.0020991340279579163,0.010806407779455185,0.010806407779455185,0.006452770438045263,,,,
82,,,,,,,0.00034518574830144644,0.08033387362957001,0.0021809397730976343,0.011645659804344177,0.011645659804344177,0.006913299206644297,,,,
83,,,,,,,0.000321388419251889,0.0748487263917923,0.002031912561506033,0.010536007583141327,0.010536007583141327,0.006283960770815611,,,,
84,,,,,,,0.00031001100433059037,0.07318153977394104,0.001984544098377228,0.010557174682617188,0.010557174682617188,0.006270859390497208,,,,
85,,,,,,,0.00029781449120491743,0.06977875530719757,0.0018933761166408658,0.010112451389431953,0.010112451389431953,0.006002914160490036,,,,
86,,,,,,,0.0003043009783141315,0.06904105842113495,0.001878177048638463,0.009472575969994068,0.009472575969994068,0.0056753759272396564,,,,
87,,,,,,,0.00029409705894067883,0.06944457441568375,0.001883162884041667,0.009915472939610481,0.009915472939610481,0.005899317562580109,,,,
88,,,,,,,0.00029904537950642407,0.06741863489151001,0.0018349885940551758,0.009754935279488564,0.009754935279488564,0.00579496193677187,,,,
89,,,,,,,0.0003101392649114132,0.07281981408596039,0.00197556521743536,0.010324999690055847,0.010324999690055847,0.006150281988084316,,,,
90,0.0007360384333878756,0.1674650013446808,0.004554644227027893,0.03988546133041382,0.03988546133041382,0.022220052778720856,0.000306665722746402,0.07179111242294312,0.0019481105264276266,0.010071122087538242,0.010071122087538242,0.006009615957736969,79.71095452629272,83.89162561576354,9.618467080342953,5.406451351630191
91,,,,,,,0.00025772411026991904,0.05810308828949928,0.0015814390499144793,0.008680683560669422,0.008680683560669422,0.005131061188876629,,,,
92,,,,,,,0.00024265836691483855,0.05239175260066986,0.0014311230042949319,0.008006871677935123,0.008006871677935123,0.004718997981399298,,,,
93,,,,,,,0.00023701797181274742,0.049898646771907806,0.0013659752439707518,0.007588053587824106,0.007588053587824106,0.004477014299482107,,,,
94,,,,,,,0.00023384703672491014,0.04928916320204735,0.0013491526478901505,0.007558022625744343,0.007558022625744343,0.004453587345778942,,,,
95,,,,,,,0.000234584033023566,0.04856661334633827,0.001331457169726491,0.007246579043567181,0.007246579043567181,0.004289018921554089,,,,
96,,,,,,,0.00022943291696719825,0.046741075813770294,0.0012832434149459004,0.007000248413532972,0.007000248413532972,0.004141746088862419,,,,
97,,,,,,,0.00022680179972667247,0.04452626034617424,0.001226557302288711,0.006868285126984119,0.006868285126984119,0.004047421272844076,,,,
98,,,,,,,0.00023134800721891224,0.04667426645755768,0.001282530720345676,0.007243032101541758,0.007243032101541758,0.004262781701982021,,,,
99,,,,,,,0.0002376915217610076,0.049327973276376724,0.0013520449865609407,0.007159618195146322,0.007159618195146322,0.004255831707268953,,,,
100,0.0006486625643447042,0.1587579995393753,0.004293281584978104,0.04453887417912483,0.04453887417912483,0.024416077882051468,0.00023749846150167286,0.0472787581384182,0.001300718286074698,0.006898665335029364,0.006898665335029364,0.00409969175234437,80.89318727088389,84.87684729064038,8.957357467195024,5.225911902165727
101,,,,,,,0.00022886673104949296,0.04553106054663658,0.001252710004337132,0.006971764378249645,0.006971764378249645,0.004112237133085728,,,,
102,,,,,,,0.0002244181087007746,0.04383733868598938,0.0012081427266821265,0.006763200741261244,0.006763200741261244,0.003985672257840633,,,,
103,,,,,,,0.0002246568474220112,0.0429704375565052,0.0011865892447531223,0.006626782938838005,0.006626782938838005,0.00390668585896492,,,,
104,,,,,,,0.00022659859678242356,0.04504591226577759,0.0012394468067213893,0.00683287438005209,0.00683287438005209,0.004036160185933113,,,,
105,,,,,,,0.00022530333080794662,0.04457126930356026,0.001226933440193534,0.00652704993262887,0.00652704993262887,0.0038769913371652365,,,,
106,,,,,,,0.00022632369655184448,0.04283301159739494,0.0011839872458949685,0.006467760540544987,0.006467760540544987,0.0038258740678429604,,,,
107,,,,,,,0.00022330941283144057,0.043903764337301254,0.001209248905070126,0.006482514087110758,0.006482514087110758,0.0038458819035440683,,,,
108,,,,,,,0.00022174479090608656,0.04291008412837982,0.0011836246121674776,0.00652724876999855,0.00652724876999855,0.003855436574667692,,,,
109,,,,,,,0.00022324426390696317,0.04244934022426605,0.001172855612821877,0.006601726170629263,0.006601726170629263,0.0038872912991791964,,,,
110,0.0006485672201961279,0.16386961936950684,0.004421023651957512,0.05094803124666214,0.05094803124666214,0.027684524655342102,0.00022952983272261918,0.0454355925321579,0.0012506546918302774,0.006589150987565517,0.006589150987565517,0.003919903188943863,80.8050769413177,84.92610837438423,9.31463538961751,5.358531075388765
111,,,,,,,0.00022962420189287513,0.04557662084698677,0.0012542278273031116,0.006941880565136671,0.006941880565136671,0.004098054021596909,,,,
112,,,,,,,0.00022061531490180641,0.04225045442581177,0.0011665690690279007,0.0061675142496824265,0.0061675142496824265,0.00366704142652452,,,,
113,,,,,,,0.00021651459974236786,0.039937540888786316,0.0011066958541050553,0.006006339564919472,0.006006339564919472,0.0035565171856433153,,,,
114,,,,,,,0.00021640043996740133,0.040357157588005066,0.001117129111662507,0.006064376328140497,0.006064376328140497,0.0035907530691474676,,,,
115,,,,,,,0.00021404612925834954,0.040054988116025925,0.0011083978461101651,0.005932374391704798,0.005932374391704798,0.003520386526361108,,,,
116,,,,,,,0.00021321052918210626,0.040078360587358475,0.0011085643200203776,0.005931407678872347,0.005931407678872347,0.0035199858248233795,,,,
117,,,,,,,0.00021208619000390172,0.03958772495388985,0.0010957360500469804,0.006128977052867413,0.006128977052867413,0.003612356726080179,,,,
118,,,,,,,0.00021778461814392358,0.04108728468418121,0.0011360743083059788,0.006156895309686661,0.006156895309686661,0.0036464848089963198,,,,
119,,,,,,,0.0002117393451044336,0.04004682973027229,0.0011070403270423412,0.006104245316237211,0.006104245316237211,0.00360564305447042,,,,
120,0.0006449372158385813,0.16206298768520355,0.004374043084681034,0.05325102433562279,0.05325102433562279,0.02881253883242607,0.000214219035115093,0.040719348937273026,0.0011250932002440095,0.006214909255504608,0.006214909255504608,0.0036700016353279352,81.00002183656055,84.82758620689654,9.312646165177455,5.743923452887277
